result_label,prefix,method,metric,numerator,denominator,value
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,GRACE,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T0,1,1,1.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T1L,4,4,1.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T1G,4,4,1.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T2G,4,4,1.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BalanceEdit,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T0,50,50,1.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T1L,269,553,0.486438
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T1G,180,200,0.900000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T2G,196,200,0.980000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BalanceEdit,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T0,100,100,1.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T1L,398,821,0.484775
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T1G,351,400,0.877500
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T2G,388,400,0.970000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BalanceEdit,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T0,200,200,1.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T1L,1081,1664,0.649639
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T1G,694,800,0.867500
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T2G,756,800,0.945000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BalanceEdit,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T0,0,1,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T1L,0,4,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T1G,0,4,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T2G,0,4,0.000000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,1,BELoRA,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T0,1,50,0.020000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T1L,5,553,0.009042
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T1G,3,200,0.015000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T2G,3,200,0.015000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,50,BELoRA,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T0,1,100,0.010000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T1L,24,821,0.029233
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T1G,7,400,0.017500
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T2G,12,400,0.030000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,100,BELoRA,T5,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T0,2,200,0.010000
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T1L,62,1664,0.037260
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T1G,7,800,0.008750
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T2L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T2G,30,800,0.037500
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T3L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T3G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T4L,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T4G,0,0,NA
PROVISIONAL_AS_RUN_ORIGINAL_SEQUENCE_DIAGNOSTIC,200,BELoRA,T5,0,0,NA
